land_area_acres,soil_type,soil_ph,water_source,irrigation_availability,season,investment_budget,resource_intensity,previous_crop,current_crop,soil_health_score,recommended_crop,match_percentage
8,Clay,5.6,Rainfed,Available,Kharif,Low,Fertilizer Usage,Groundnut,Wheat,58,Cotton,98
4,Loamy,5.5,Canal,Available,Summer,High,Fertilizer Usage,Cotton,Cotton,69,Sunflower,98
5,Clay,6.0,Rainfed,Available,Kharif,Medium,Low Input,Rice,Millet,91,Millet,98
9,Sandy,6.4,Canal,Available,Summer,Low,Low Input,Cotton,Rice,87,Sunflower,98
2,Loamy,6.7,Borewell,Limited,Rabi,High,High Input,Groundnut,Cotton,91,Mustard,98
2,Sandy,7.0,Canal,Available,Summer,Medium,Fertilizer Usage,Maize,Rice,79,Groundnut,98
2,Sandy,7.1,Canal,Limited,Summer,Low,Fertilizer Usage,Cotton,Wheat,67,Green Gram (Moong),98
4,Sandy,5.8,Canal,Available,Rabi,Medium,Fertilizer Usage,Groundnut,Wheat,57,Millet,98
7,Clay,5.8,Rainfed,Available,Rabi,High,Low Input,Millet,Rice,65,Mustard,98
7,Clay,7.3,Canal,Limited,Rabi,High,Fertilizer Usage,Cotton,Wheat,63,Mustard,98
2,Clay,6.7,Canal,Limited,Summer,High,Low Input,Groundnut,Cotton,91,Sunflower,98
1,Loamy,6.6,Rainfed,Limited,Rabi,Medium,Fertilizer Usage,Groundnut,Millet,84,Mustard,98
10,Sandy,7.3,Borewell,Available,Rabi,Low,Fertilizer Usage,Cotton,Cotton,62,Millet,98
1,Clay,7.0,Canal,Limited,Summer,High,Fertilizer Usage,Millet,Rice,85,Green Gram (Moong),98
8,Loamy,7.2,Rainfed,Available,Rabi,High,High Input,Millet,Wheat,59,Sunflower,98
10,Clay,7.3,Borewell,Limited,Kharif,Medium,Low Input,Wheat,Maize,65,Cotton,98
1,Loamy,6.3,Canal,Available,Rabi,Medium,Fertilizer Usage,Cotton,Maize,86,Mustard,98
2,Loamy,7.0,Canal,Available,Rabi,Low,High Input,Groundnut,Wheat,85,Sunflower,98
1,Loamy,7.4,Rainfed,Available,Summer,Low,Low Input,Rice,Rice,65,Green Gram (Moong),98
5,Clay,7.5,Borewell,Available,Kharif,Low,Fertilizer Usage,Millet,Wheat,58,Cotton,98
8,Sandy,6.6,Rainfed,Limited,Summer,Medium,Fertilizer Usage,Rice,Groundnut,82,Green Gram (Moong),98
7,Sandy,6.3,Borewell,Available,Kharif,Medium,Low Input,Groundnut,Wheat,85,Groundnut,98
2,Loamy,5.9,Borewell,Limited,Rabi,High,Low Input,Wheat,Groundnut,67,Mustard,98
9,Sandy,6.0,Borewell,Available,Kharif,High,Fertilizer Usage,Millet,Groundnut,83,Millet,98
9,Clay,5.8,Borewell,Available,Rabi,High,Fertilizer Usage,Millet,Maize,65,Basmati Rice,98
5,Clay,5.6,Borewell,Limited,Kharif,Medium,Fertilizer Usage,Wheat,Cotton,70,Cotton,98
9,Loamy,7.1,Borewell,Limited,Summer,Low,Fertilizer Usage,Rice,Millet,43,Green Gram (Moong),98
10,Sandy,6.7,Borewell,Limited,Summer,High,Fertilizer Usage,Cotton,Cotton,84,Green Gram (Moong),98
3,Sandy,5.6,Borewell,Limited,Rabi,Low,Low Input,Maize,Cotton,70,Millet,98
3,Clay,6.4,Canal,Limited,Rabi,Low,Fertilizer Usage,Maize,Rice,82,Mustard,98
6,Loamy,6.4,Rainfed,Limited,Rabi,Medium,Fertilizer Usage,Groundnut,Millet,86,Mustard,98
1,Loamy,6.6,Borewell,Available,Summer,Low,Low Input,Rice,Millet,89,Green Gram (Moong),98
3,Loamy,5.7,Canal,Available,Summer,Medium,High Input,Millet,Cotton,69,Green Gram (Moong),98
2,Loamy,6.0,Rainfed,Available,Rabi,Low,Fertilizer Usage,Millet,Rice,78,Mustard,98
10,Loamy,6.9,Borewell,Limited,Rabi,High,High Input,Maize,Cotton,82,Mustard,98
6,Sandy,5.5,Borewell,Limited,Rabi,High,Fertilizer Usage,Maize,Maize,61,Millet,98
8,Loamy,6.8,Rainfed,Available,Summer,Low,Fertilizer Usage,Wheat,Millet,80,Green Gram (Moong),98
5,Sandy,7.0,Borewell,Available,Kharif,Low,High Input,Cotton,Maize,98,Groundnut,98
3,Sandy,7.1,Borewell,Limited,Kharif,Low,Fertilizer Usage,Rice,Maize,71,Millet,98
3,Clay,5.7,Canal,Available,Summer,High,Low Input,Maize,Wheat,63,Sunflower,98
7,Clay,5.8,Borewell,Limited,Summer,Low,High Input,Cotton,Wheat,67,Sunflower,94
1,Clay,6.6,Borewell,Limited,Rabi,Medium,Fertilizer Usage,Maize,Rice,85,Mustard,98
4,Clay,6.4,Canal,Limited,Kharif,Low,Fertilizer Usage,Cotton,Wheat,88,Cotton,98
4,Sandy,6.1,Borewell,Available,Kharif,Low,High Input,Maize,Wheat,93,Groundnut,98
4,Clay,5.6,Rainfed,Limited,Summer,High,High Input,Rice,Groundnut,67,Mustard,95
6,Loamy,5.8,Canal,Limited,Rabi,High,Fertilizer Usage,Maize,Groundnut,52,Mustard,98
4,Sandy,6.5,Rainfed,Available,Kharif,High,Low Input,Maize,Millet,85,Millet,98
8,Clay,5.9,Rainfed,Available,Kharif,High,Low Input,Rice,Wheat,71,Basmati Rice,98
2,Loamy,7.5,Canal,Limited,Rabi,Low,Low Input,Maize,Millet,50,Mustard,98
9,Loamy,7.2,Borewell,Limited,Kharif,High,Low Input,Maize,Millet,75,Millet,98
2,Sandy,6.6,Borewell,Available,Rabi,Low,High Input,Rice,Millet,85,Sunflower,98
9,Clay,5.9,Canal,Available,Kharif,Low,Low Input,Maize,Groundnut,63,Basmati Rice,98
4,Sandy,6.7,Borewell,Limited,Rabi,Low,Fertilizer Usage,Millet,Maize,77,Mustard,98
3,Sandy,7.2,Canal,Limited,Summer,High,Fertilizer Usage,Cotton,Wheat,60,Green Gram (Moong),98
1,Sandy,5.7,Rainfed,Limited,Summer,Medium,High Input,Maize,Wheat,56,Sunflower,97
10,Clay,7.5,Rainfed,Available,Summer,Medium,High Input,Wheat,Rice,59,Cotton,97
4,Loamy,6.5,Borewell,Limited,Rabi,Low,High Input,Cotton,Millet,71,Sunflower,98
5,Loamy,7.2,Rainfed,Limited,Rabi,Medium,Fertilizer Usage,Maize,Millet,58,Mustard,98
8,Clay,6.4,Rainfed,Limited,Rabi,High,Fertilizer Usage,Maize,Millet,94,Mustard,98
4,Loamy,5.8,Borewell,Available,Rabi,Low,Fertilizer Usage,Maize,Maize,70,Sunflower,98
2,Clay,6.8,Canal,Available,Summer,High,Fertilizer Usage,Cotton,Wheat,94,Sunflower,98
6,Clay,6.6,Borewell,Limited,Summer,Medium,High Input,Cotton,Wheat,83,Basmati Rice,97
9,Clay,6.2,Canal,Available,Rabi,Medium,High Input,Cotton,Wheat,89,Mustard,98
9,Clay,7.2,Borewell,Available,Summer,Low,Fertilizer Usage,Groundnut,Wheat,58,Cotton,97
8,Sandy,6.3,Canal,Available,Kharif,Low,Fertilizer Usage,Wheat,Millet,68,Groundnut,98
7,Clay,5.5,Canal,Limited,Summer,High,Fertilizer Usage,Cotton,Cotton,67,Sunflower,96
6,Loamy,6.5,Rainfed,Limited,Summer,Low,Fertilizer Usage,Rice,Groundnut,75,Sunflower,98
5,Sandy,7.4,Borewell,Available,Kharif,Medium,Fertilizer Usage,Maize,Groundnut,67,Cotton,98
4,Loamy,7.4,Rainfed,Limited,Summer,Medium,High Input,Groundnut,Millet,66,Sunflower,98
10,Loamy,7.2,Rainfed,Limited,Summer,Medium,Fertilizer Usage,Maize,Groundnut,67,Green Gram (Moong),98
3,Sandy,5.9,Canal,Limited,Rabi,Low,High Input,Rice,Groundnut,67,Mustard,98
4,Loamy,7.4,Rainfed,Limited,Kharif,Medium,High Input,Cotton,Millet,64,Millet,98
5,Loamy,6.3,Canal,Available,Rabi,Low,Low Input,Groundnut,Groundnut,74,Sunflower,98
5,Loamy,5.6,Rainfed,Limited,Kharif,High,Fertilizer Usage,Wheat,Millet,67,Cotton,98
6,Clay,5.8,Canal,Available,Kharif,Medium,Fertilizer Usage,Maize,Groundnut,62,Cotton,98
1,Sandy,6.7,Canal,Available,Rabi,High,High Input,Cotton,Maize,75,Groundnut,98
4,Sandy,6.6,Borewell,Limited,Summer,Low,High Input,Wheat,Rice,87,Sunflower,98
8,Sandy,7.4,Borewell,Limited,Kharif,High,Low Input,Cotton,Wheat,59,Millet,98
6,Sandy,6.3,Borewell,Available,Rabi,Low,High Input,Maize,Wheat,87,Millet,98
5,Clay,6.5,Canal,Available,Rabi,Medium,Fertilizer Usage,Cotton,Rice,83,Mustard,98
4,Clay,6.8,Borewell,Limited,Summer,High,Low Input,Rice,Rice,90,Green Gram (Moong),98
4,Clay,5.9,Borewell,Limited,Summer,High,Low Input,Cotton,Groundnut,54,Sunflower,98
1,Clay,5.8,Rainfed,Limited,Summer,Medium,Fertilizer Usage,Maize,Millet,75,Sunflower,97
10,Clay,6.5,Canal,Limited,Summer,High,Low Input,Wheat,Cotton,86,Green Gram (Moong),98
3,Loamy,7.0,Borewell,Limited,Summer,Medium,High Input,Maize,Cotton,89,Sunflower,98
8,Loamy,6.0,Rainfed,Limited,Rabi,Low,Low Input,Cotton,Groundnut,84,Millet,98
6,Loamy,7.4,Borewell,Limited,Summer,Medium,Low Input,Millet,Cotton,72,Green Gram (Moong),98
8,Loamy,6.4,Rainfed,Available,Summer,High,Fertilizer Usage,Maize,Rice,92,Green Gram (Moong),98
10,Sandy,6.0,Canal,Available,Summer,Low,High Input,Maize,Millet,89,Green Gram (Moong),98
2,Sandy,6.7,Borewell,Available,Summer,Low,High Input,Millet,Wheat,83,Green Gram (Moong),98
8,Loamy,7.2,Canal,Available,Summer,Medium,High Input,Rice,Wheat,61,Green Gram (Moong),98
5,Loamy,7.1,Canal,Limited,Kharif,Low,Low Input,Groundnut,Maize,59,Green Gram (Moong),98
7,Sandy,6.3,Borewell,Limited,Kharif,Medium,Fertilizer Usage,Maize,Millet,76,Millet,98
8,Loamy,7.1,Rainfed,Limited,Kharif,Low,Low Input,Millet,Millet,60,Groundnut,98
8,Sandy,6.8,Canal,Limited,Kharif,Medium,Low Input,Maize,Groundnut,80,Millet,98
9,Clay,5.7,Canal,Limited,Summer,High,High Input,Maize,Groundnut,72,Green Gram (Moong),96
7,Loamy,6.0,Borewell,Limited,Kharif,High,Low Input,Cotton,Wheat,84,Groundnut,98
3,Sandy,5.8,Borewell,Limited,Summer,Low,High Input,Wheat,Millet,65,Sunflower,98
9,Loamy,6.1,Borewell,Limited,Summer,Medium,Low Input,Rice,Wheat,80,Green Gram (Moong),98
9,Clay,6.6,Canal,Limited,Kharif,Low,Low Input,Groundnut,Rice,76,Basmati Rice,98
9,Loamy,7.1,Canal,Limited,Summer,High,High Input,Groundnut,Cotton,61,Green Gram (Moong),98
4,Sandy,6.9,Borewell,Available,Rabi,High,Low Input,Cotton,Groundnut,85,Millet,98
7,Loamy,6.1,Canal,Available,Summer,Medium,Low Input,Cotton,Cotton,80,Sunflower,98
9,Clay,6.8,Canal,Available,Summer,Medium,High Input,Millet,Maize,80,Sunflower,98
9,Clay,5.6,Canal,Limited,Kharif,Low,Fertilizer Usage,Wheat,Millet,64,Basmati Rice,98
9,Clay,7.1,Borewell,Available,Kharif,Medium,Low Input,Rice,Groundnut,79,Cotton,98
2,Clay,6.4,Rainfed,Available,Summer,Low,Low Input,Maize,Rice,86,Green Gram (Moong),97
5,Sandy,7.3,Rainfed,Limited,Kharif,Low,High Input,Maize,Rice,61,Groundnut,98
1,Clay,5.8,Borewell,Available,Kharif,Low,Fertilizer Usage,Rice,Groundnut,59,Cotton,98
1,Loamy,6.4,Rainfed,Available,Rabi,Low,Low Input,Millet,Cotton,90,Mustard,98
7,Sandy,6.9,Rainfed,Available,Rabi,Medium,Fertilizer Usage,Groundnut,Groundnut,80,Groundnut,98
4,Clay,6.6,Canal,Available,Summer,Low,High Input,Millet,Groundnut,91,Cotton,98
6,Loamy,5.6,Canal,Available,Kharif,Medium,Fertilizer Usage,Cotton,Millet,58,Millet,98
7,Clay,6.4,Canal,Limited,Kharif,Low,Fertilizer Usage,Groundnut,Rice,95,Basmati Rice,98
5,Clay,6.5,Rainfed,Limited,Summer,High,High Input,Groundnut,Millet,79,Green Gram (Moong),98
6,Loamy,5.5,Canal,Limited,Rabi,High,High Input,Cotton,Wheat,66,Mustard,98
5,Sandy,6.2,Rainfed,Available,Rabi,Medium,Low Input,Cotton,Maize,83,Millet,98
7,Loamy,7.5,Canal,Limited,Summer,Low,Fertilizer Usage,Cotton,Maize,53,Sunflower,98
4,Sandy,7.2,Canal,Limited,Kharif,High,Fertilizer Usage,Wheat,Wheat,69,Groundnut,98
7,Clay,7.3,Rainfed,Limited,Kharif,High,High Input,Maize,Rice,69,Basmati Rice,97
7,Sandy,6.2,Rainfed,Limited,Summer,Low,Fertilizer Usage,Maize,Millet,81,Green Gram (Moong),97
8,Loamy,5.5,Borewell,Available,Rabi,High,Fertilizer Usage,Maize,Wheat,68,Sunflower,98
1,Sandy,5.8,Borewell,Available,Kharif,High,Fertilizer Usage,Rice,Wheat,56,Groundnut,98
9,Loamy,7.3,Borewell,Limited,Kharif,Medium,High Input,Rice,Cotton,62,Cotton,98
6,Sandy,6.5,Borewell,Available,Summer,High,High Input,Maize,Wheat,93,Green Gram (Moong),98
4,Clay,6.7,Canal,Limited,Rabi,Medium,Low Input,Rice,Rice,86,Green Gram (Moong),95
9,Sandy,6.4,Borewell,Limited,Kharif,Low,High Input,Millet,Wheat,87,Groundnut,98
3,Clay,7.4,Borewell,Available,Rabi,Medium,Fertilizer Usage,Maize,Rice,65,Mustard,98
1,Loamy,6.7,Canal,Limited,Summer,High,Low Input,Wheat,Rice,81,Sunflower,98
7,Clay,6.5,Borewell,Available,Summer,Low,Fertilizer Usage,Cotton,Millet,77,Green Gram (Moong),98
6,Loamy,5.9,Canal,Limited,Rabi,Medium,Low Input,Groundnut,Wheat,74,Mustard,98
8,Loamy,7.5,Canal,Available,Rabi,High,High Input,Groundnut,Cotton,62,Sunflower,98
6,Sandy,7.2,Borewell,Limited,Kharif,Low,Fertilizer Usage,Groundnut,Wheat,66,Groundnut,98
4,Clay,5.8,Rainfed,Limited,Kharif,Low,Fertilizer Usage,Maize,Maize,63,Cotton,98
3,Clay,5.6,Rainfed,Limited,Summer,Medium,Low Input,Rice,Cotton,75,Millet,98
3,Sandy,7.1,Borewell,Available,Summer,High,High Input,Maize,Wheat,65,Groundnut,98
1,Loamy,7.4,Borewell,Available,Rabi,Low,Fertilizer Usage,Wheat,Maize,66,Sunflower,98
8,Sandy,5.6,Canal,Limited,Summer,High,Fertilizer Usage,Maize,Wheat,61,Sunflower,98
6,Loamy,6.5,Rainfed,Limited,Kharif,High,Fertilizer Usage,Millet,Maize,95,Green Gram (Moong),98
4,Clay,7.4,Canal,Available,Kharif,Medium,High Input,Cotton,Groundnut,65,Cotton,98
9,Clay,6.6,Canal,Limited,Summer,Medium,Low Input,Maize,Rice,92,Sunflower,98
4,Clay,6.8,Borewell,Available,Summer,High,Low Input,Maize,Maize,86,Green Gram (Moong),98
3,Sandy,7.3,Borewell,Available,Kharif,Low,Low Input,Maize,Rice,58,Groundnut,98
3,Clay,6.7,Borewell,Available,Summer,Low,Low Input,Millet,Cotton,81,Green Gram (Moong),98
5,Loamy,5.5,Borewell,Limited,Summer,High,High Input,Millet,Groundnut,68,Sunflower,95
7,Loamy,6.3,Borewell,Limited,Kharif,Medium,Low Input,Cotton,Cotton,85,Green Gram (Moong),98
4,Sandy,6.5,Canal,Limited,Summer,Low,Fertilizer Usage,Groundnut,Wheat,82,Green Gram (Moong),98
10,Loamy,7.1,Canal,Limited,Kharif,Low,Fertilizer Usage,Maize,Wheat,70,Green Gram (Moong),98
7,Sandy,7.1,Rainfed,Limited,Rabi,High,High Input,Millet,Wheat,73,Mustard,98
8,Loamy,6.3,Borewell,Available,Rabi,High,Fertilizer Usage,Groundnut,Rice,83,Mustard,98
5,Clay,6.5,Canal,Available,Rabi,High,Low Input,Groundnut,Millet,86,Mustard,98
3,Clay,7.4,Rainfed,Available,Summer,Medium,Fertilizer Usage,Groundnut,Groundnut,60,Green Gram (Moong),98
10,Sandy,6.6,Rainfed,Limited,Rabi,Medium,Fertilizer Usage,Cotton,Maize,80,Millet,98
2,Sandy,5.7,Borewell,Available,Summer,High,Fertilizer Usage,Wheat,Maize,58,Sunflower,98
8,Clay,7.5,Borewell,Limited,Rabi,Medium,High Input,Millet,Groundnut,68,Millet,98
2,Clay,6.1,Canal,Available,Summer,High,Low Input,Maize,Maize,79,Sunflower,98
6,Sandy,6.8,Borewell,Limited,Kharif,High,High Input,Wheat,Maize,97,Millet,98
1,Sandy,6.2,Canal,Limited,Kharif,High,High Input,Millet,Millet,88,Groundnut,98
4,Sandy,6.3,Rainfed,Limited,Summer,Medium,Low Input,Maize,Maize,80,Green Gram (Moong),98
7,Clay,7.1,Rainfed,Limited,Rabi,Low,Low Input,Rice,Rice,68,Millet,98
8,Clay,6.5,Canal,Available,Summer,High,High Input,Groundnut,Wheat,81,Sunflower,98
8,Sandy,6.6,Canal,Available,Summer,Medium,Low Input,Rice,Rice,88,Green Gram (Moong),98
7,Sandy,7.3,Borewell,Available,Summer,Medium,Low Input,Cotton,Maize,64,Green Gram (Moong),98
1,Sandy,5.6,Borewell,Available,Rabi,High,Fertilizer Usage,Millet,Cotton,55,Mustard,98
9,Clay,6.1,Borewell,Available,Rabi,Medium,Low Input,Maize,Millet,86,Mustard,98
5,Sandy,6.2,Canal,Limited,Rabi,Medium,High Input,Groundnut,Cotton,89,Sunflower,98
8,Clay,6.0,Rainfed,Available,Rabi,Low,High Input,Cotton,Maize,66,Cotton,98
1,Sandy,5.8,Rainfed,Available,Rabi,Low,Low Input,Maize,Cotton,67,Green Gram (Moong),98
6,Sandy,6.1,Rainfed,Limited,Kharif,Low,Fertilizer Usage,Maize,Wheat,91,Cotton,98
8,Loamy,6.0,Rainfed,Limited,Summer,Medium,Low Input,Cotton,Wheat,82,Green Gram (Moong),98
10,Loamy,6.5,Rainfed,Available,Rabi,Low,High Input,Millet,Maize,85,Millet,98
1,Clay,6.2,Rainfed,Available,Rabi,Medium,High Input,Rice,Millet,91,Mustard,98
10,Loamy,6.0,Canal,Available,Kharif,Low,Fertilizer Usage,Rice,Rice,86,Groundnut,98
9,Sandy,6.7,Borewell,Limited,Kharif,Medium,Low Input,Maize,Wheat,83,Millet,98
4,Clay,6.7,Rainfed,Limited,Summer,High,Fertilizer Usage,Wheat,Wheat,88,Sunflower,98
6,Loamy,7.4,Borewell,Available,Summer,High,High Input,Rice,Millet,74,Sunflower,98
2,Clay,7.4,Canal,Limited,Kharif,High,Fertilizer Usage,Rice,Groundnut,58,Cotton,98
1,Loamy,6.8,Rainfed,Available,Summer,Medium,Low Input,Groundnut,Groundnut,84,Green Gram (Moong),98
2,Sandy,6.4,Borewell,Available,Rabi,Medium,Low Input,Millet,Cotton,84,Groundnut,98
7,Loamy,6.3,Canal,Available,Rabi,Low,Fertilizer Usage,Rice,Millet,81,Mustard,98
2,Sandy,6.6,Borewell,Available,Summer,High,Fertilizer Usage,Rice,Wheat,70,Sunflower,98
3,Loamy,6.7,Borewell,Limited,Summer,Low,High Input,Cotton,Millet,81,Sunflower,98
4,Loamy,6.2,Borewell,Available,Kharif,Low,High Input,Cotton,Wheat,81,Cotton,98
2,Loamy,7.1,Rainfed,Available,Kharif,Low,Fertilizer Usage,Maize,Groundnut,59,Cotton,98
8,Loamy,6.5,Borewell,Limited,Rabi,Low,High Input,Rice,Maize,82,Mustard,98
9,Loamy,6.6,Rainfed,Limited,Rabi,Low,Fertilizer Usage,Cotton,Cotton,85,Mustard,98
